epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,331.76,2.10455,3.15694,1.86566,0.77962,0.0891,0.07308,0.02614,2.45991,3.25909,1.98721,0.000713002,0.000713002,0.000713002
2,629.1,2.02402,2.61598,1.81409,0.49638,0.13881,0.08488,0.02909,2.18328,2.85112,1.82195,0.000956426,0.000956426,0.000956426
3,939.306,1.92872,2.35814,1.70311,0.85881,0.1392,0.17115,0.07277,2.0194,2.18597,1.70106,0.00048586,0.00048586,0.00048586
